sample_index_at_1MHz,D0,D1,D2,D3,D4,D5,D6,D7
3239535,0,0,0,0,0,0,1,0
3240052,0,0,0,0,0,0,0,0
3240060,0,0,0,0,0,0,0,1
3240579,0,0,0,0,0,0,1,1
3240587,0,0,0,0,0,0,1,0
3241104,0,0,0,0,0,0,0,0
3241112,0,0,0,0,0,0,0,1
3241633,0,0,0,0,0,0,1,1
3241641,0,0,0,0,0,0,1,0
3242157,0,0,0,0,0,0,0,0
3242165,0,0,0,0,0,0,0,1
3242684,0,0,0,0,0,0,1,1
3242692,0,0,0,0,0,0,1,0
3243209,0,0,0,0,0,0,0,0
3243217,0,0,0,0,0,0,0,1
3243738,0,0,0,0,0,0,1,1
3243746,0,0,0,0,0,0,1,0
3244262,0,0,0,0,0,0,0,0
3244269,0,0,0,0,0,0,0,1
3244790,0,0,0,0,0,0,1,1
3244798,0,0,0,0,0,0,1,0
3245315,0,0,0,0,0,0,0,0
3245323,0,0,0,0,0,0,0,1
3245843,0,0,0,0,0,0,1,1
3245851,0,0,0,0,0,0,1,0
3246368,0,0,0,0,0,0,0,0
3246376,0,0,0,0,0,0,0,1
3246897,0,0,0,0,0,0,1,1
3246906,0,0,0,0,0,0,1,0
3247422,0,0,0,0,0,0,0,0
3247430,0,0,0,0,0,0,0,1
3247951,0,0,0,0,0,0,1,1
3247958,0,0,0,0,0,0,1,0
3248474,0,0,0,0,0,0,0,0
3248481,0,0,0,0,0,0,0,1
3249002,0,0,0,0,0,0,1,1
3249010,0,0,0,0,0,0,1,0
3249528,0,0,0,0,0,0,0,0
3249536,0,0,0,0,0,0,0,1
3250057,0,0,0,0,0,0,1,1
3250065,0,0,0,0,0,0,1,0
3250582,0,0,0,0,0,0,0,0
3250589,0,0,0,0,0,0,0,1
3251110,0,0,0,0,0,0,1,1
3251118,0,0,0,0,0,0,1,0
3251634,0,0,0,0,0,0,0,0
3251642,0,0,0,0,0,0,0,1
3252162,0,0,0,0,0,0,1,1
3252170,0,0,0,0,0,0,1,0
3252686,0,0,0,0,0,0,0,0
3252694,0,0,0,0,0,0,0,1
3253215,0,0,0,0,0,0,1,1
3253223,0,0,0,0,0,0,1,0
3253739,0,0,0,0,0,0,0,0
3253746,0,0,0,0,0,0,0,1
3254267,0,0,0,0,0,0,1,1
3254275,0,0,0,0,0,0,1,0
3254793,0,0,0,0,0,0,0,0
3254800,0,0,0,0,0,0,0,1
3255320,0,0,0,0,0,0,1,1
3255328,0,0,0,0,0,0,1,0
3255845,0,0,0,0,0,0,0,0
3255852,0,0,0,0,0,0,0,1
3256374,0,0,0,0,0,0,1,1
3256382,0,0,0,0,0,0,1,0
3256898,0,0,0,0,0,0,0,0
3256906,0,0,0,0,0,0,0,1
3257427,0,0,0,0,0,0,1,1
3257434,0,0,0,0,0,0,1,0
3257951,0,0,0,0,0,0,0,0
3257959,0,0,0,0,0,0,0,1
3258480,0,0,0,0,0,0,1,1
3258488,0,0,0,0,0,0,1,0
3259004,0,0,0,0,0,0,0,0
3259012,0,0,0,0,0,0,0,1
3259532,0,0,0,0,0,0,1,1
3259541,0,0,0,0,0,0,1,0
3260058,0,0,0,0,0,0,0,0
3260066,0,0,0,0,0,0,0,1
3260586,0,0,0,0,0,0,1,1
3260594,0,0,0,0,0,0,1,0
3261111,0,0,0,0,0,0,0,0
3261119,0,0,0,0,0,0,0,1
3261640,0,0,0,0,0,0,1,1
3261648,0,0,0,0,0,0,1,0
3262166,0,0,0,0,0,0,0,0
3262173,0,0,0,0,0,0,0,1
3262694,0,0,0,0,0,0,1,1
3262702,0,0,0,0,0,0,1,0
3263219,0,0,0,0,0,0,0,0
3263227,0,0,0,0,0,0,0,1
3263748,0,0,0,0,0,0,1,1
3263755,0,0,0,0,0,0,1,0
3264272,0,0,0,0,0,0,0,0
3264279,0,0,0,0,0,0,0,1
3264800,0,0,0,0,0,0,1,1
3264808,0,0,0,0,0,0,1,0
3265325,0,0,0,0,0,0,0,0
3265333,0,0,0,0,0,0,0,1
3265854,0,0,0,0,0,0,1,1
3265862,0,0,0,0,0,0,1,0
3266378,0,0,0,0,0,0,0,0
3266385,0,0,0,0,0,0,0,1
3266906,0,0,0,0,0,0,1,1
3266914,0,0,0,0,0,0,1,0
3267430,0,0,0,0,0,0,0,0
3267438,0,0,0,0,0,0,0,1
3267959,0,0,0,0,0,0,1,1
3267966,0,0,0,0,0,0,1,0
3268483,0,0,0,0,0,0,0,0
3268490,0,0,0,0,0,0,0,1
3269011,0,0,0,0,0,0,1,1
3269020,0,0,0,0,0,0,1,0
3269537,0,0,0,0,0,0,0,0
3269545,0,0,0,0,0,0,0,1
3270067,0,0,0,0,0,0,1,1
3270075,0,0,0,0,0,0,1,0
3270591,0,0,0,0,0,0,0,0
3270599,0,0,0,0,0,0,0,1
3271119,0,0,0,0,0,0,1,1
3271127,0,0,0,0,0,0,1,0
3271645,0,0,0,0,0,0,0,0
3271652,0,0,0,0,0,0,0,1
3272173,0,0,0,0,0,0,1,1
3272181,0,0,0,0,0,0,1,0
3272699,0,0,0,0,0,0,0,0
3272706,0,0,0,0,0,0,0,1
3273227,0,0,0,0,0,0,1,1
3273235,0,0,0,0,0,0,1,0
3273753,0,0,0,0,0,0,0,0
3273761,0,0,0,0,0,0,0,1
3274282,0,0,0,0,0,0,1,1
3274290,0,0,0,0,0,0,1,0
3274806,0,0,0,0,0,0,0,0
3274814,0,0,0,0,0,0,0,1
3275335,0,0,0,0,0,0,1,1
3275343,0,0,0,0,0,0,1,0
3275860,0,0,0,0,0,0,0,0
3275867,0,0,0,0,0,0,0,1
3276388,0,0,0,0,0,0,1,1
3276396,0,0,0,0,0,0,1,0
3276913,0,0,0,0,0,0,0,0
3276921,0,0,0,0,0,0,0,1
3277442,0,0,0,0,0,0,1,1
3277450,0,0,0,0,0,0,1,0
3277967,0,0,0,0,0,0,0,0
3277975,0,0,0,0,0,0,0,1
3278496,0,0,0,0,0,0,1,1
3278504,0,0,0,0,0,0,1,0
3279020,0,0,0,0,0,0,0,0
3279028,0,0,0,0,0,0,0,1
3279548,0,0,0,0,0,0,1,1
3279557,0,0,0,0,0,0,1,0
3280073,0,0,0,0,0,0,0,0
3280081,0,0,0,0,0,0,0,1
3280602,0,0,0,0,0,0,1,1
3280610,0,0,0,0,0,0,1,0
3281126,0,0,0,0,0,0,0,0
3281134,0,0,0,0,0,0,0,1
3281654,0,0,0,0,0,0,1,1
3281662,0,0,0,0,0,0,1,0
3282180,0,0,0,0,0,0,0,0
3282188,0,0,0,0,0,0,0,1
3282708,0,0,0,0,0,0,1,1
3282716,0,0,0,0,0,0,1,0
3283233,0,0,0,0,0,0,0,0
3283240,0,0,0,0,0,0,0,1
3283761,0,0,0,0,0,0,1,1
3283769,0,0,0,0,0,0,1,0
3284286,0,0,0,0,0,0,0,0
3284294,0,0,0,0,0,0,0,1
3284813,0,0,0,0,0,0,1,1
3284821,0,0,0,0,0,0,1,0
3285338,0,0,0,0,0,0,0,0
3285346,0,0,0,0,0,0,0,1
3285867,0,0,0,0,0,0,1,1
3285875,0,0,0,0,0,0,1,0
3286391,0,0,0,0,0,0,0,0
3286399,0,0,0,0,0,0,0,1
3286920,0,0,0,0,0,0,1,1
3286928,0,0,0,0,0,0,1,0
3287445,0,0,0,0,0,0,0,0
3287452,0,0,0,0,0,0,0,1
3287973,0,0,0,0,0,0,1,1
3287981,0,0,0,0,0,0,1,0
3288498,0,0,0,0,0,0,0,0
3288506,0,0,0,0,0,0,0,1
3289026,0,0,0,0,0,0,1,1
3289034,0,0,0,0,0,0,1,0
3289551,0,0,0,0,0,0,0,0
3289558,0,0,0,0,0,0,0,1
3290080,0,0,0,0,0,0,1,1
3290088,0,0,0,0,0,0,1,0
3290605,0,0,0,0,0,0,0,0
